customer_id,age,gender,location,tenure_months,contract_type,monthly_charges,total_charges,login_frequency,feature_usage_score,avg_session_duration,support_tickets,complaints,days_since_last_login,payment_delay_days,payment_method,num_referrals,promotional_offers_used,download_volume_gb,churn,customer_lifetime_value,avg_revenue_per_month,engagement_score,engagement_decay,support_intensity,payment_reliability,value_cost_ratio,tenure_category,is_high_complaints,is_payment_delayed,is_low_engagement,is_active_referrer,usage_per_dollar,recency_score
CUST_000000,40.0,1,2,5,2,83.134022742832,416.5023363394347,14,61.1958928373554,16.750828957458364,4,1,7,0,0,0,3,4.735421910663274,0,415.67011371416004,69.41705605657245,38.840064811797575,1.1666666666666667,1.0,100,0.7273620212409151,3,0,0,0,0,0.05628426831720369,86
CUST_000001,33.0,1,2,24,0,82.82536513719133,2005.0909638883068,11,55.10970585674908,35.127835771587,3,0,2,1,1,1,1,8.213964751704577,0,1987.8087632925917,80.20363855553227,36.53493130088979,0.08,0.12,98,0.6574347247584873,0,0,0,0,1,0.09798901249354934,96
CUST_000002,42.0,1,0,2,2,74.47942794851798,950.0585939511075,14,33.36031109874439,20.126229231373117,2,1,2,0,1,2,3,5.609500955849775,1,148.95885589703596,316.68619798370247,31.09014089204758,0.6666666666666666,1.3333333333333333,100,0.44197885444360224,3,0,0,0,1,0.07431827596356229,96
CUST_000003,53.0,1,1,19,2,96.83362032627817,1771.524013494327,9,17.62097386899977,27.48629215662202,1,1,1,1,1,1,3,64.44135214820108,1,1839.838786199285,88.57620067471635,21.428276878146768,0.05,0.15,98,0.1801116406633351,0,0,0,1,1,0.6586830982364463,98
CUST_000004,32.0,0,2,21,2,88.98596483202185,1800.0199956331455,9,18.46252483891552,35.02451238260621,4,0,1,1,1,0,1,19.821992977051913,1,1868.705261472459,81.81909071059752,23.02238759485342,0.045454545454545456,0.18181818181818182,98,0.2051711605624254,0,0,0,1,0,0.220278718065133,98
CUST_000005,32.0,1,1,5,0,86.82108839759263,482.0066126229594,16,12.026084555168051,14.618827555919257,3,0,6,0,2,3,4,1.3073702597819947,1,434.10544198796316,80.3344354371599,26.20967070032776,1.0,0.5,100,0.13693845948164898,3,0,0,1,1,0.014886746266035034,88
CUST_000006,34.0,1,2,11,2,105.95843368958728,1210.4292895203778,10,21.766038517716584,40.4379413291844,6,0,3,1,2,0,0,20.66813521350469,1,1165.5427705854602,100.86910746003149,26.226918748244323,0.25,0.5,98,0.2034999744002008,1,0,0,1,0,0.1932352083005194,94
CUST_000007,44.0,0,2,42,0,65.8597837215399,2793.089038454213,18,26.73696680216529,17.936058462830374,1,0,4,1,1,1,1,47.98187193971739,1,2766.110916304676,64.95555903381891,33.713333046414924,0.09302325581395349,0.023255813953488372,98,0.39989610067421694,2,0,0,0,1,0.7176492245256739,92
CUST_000008,29.0,1,2,3,2,66.73306698073243,196.4356423356507,14,38.69085287873385,15.701136680524254,3,1,0,3,1,1,1,12.092097950057699,1,200.1992009421973,49.108910583912674,31.90172956891269,0.0,1.25,94,0.5712254679053582,3,0,0,0,1,0.17852577018987575,100
CUST_000009,41.0,0,2,13,2,89.576105546619,950.0585939511075,20,69.27306460595449,48.44279912145173,3,0,8,6,1,0,3,11.715957274602923,1,1164.489372106047,67.86132813936482,54.403723720550005,0.5714285714285714,0.21428571428571427,88,0.7648050684879583,0,0,1,0,0,0.12934931573728115,84
